name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"O'Reilly Auto Parts","O'Reilly Auto Parts","1336 Paseo del Pueblo Sur","Taos","Taos","NM","87571","5057584616","0","","http://www.oreillyauto.com/","36.37125","-105.59571","15.0076919429779","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","Most stores offer Used Oil & Battery Recycling, Battery Testing, 
Electrical & Module Testing, Loaner Tool Program, Drum / Rotor Resurfacing. Call your location for more details.","","false","false","false","false"
"Taos Recycling Center","","201 Bertha St","Taos","","NM","87571","5757589679","0","","https://www.taosgov.com","36.384033","-105.5910555","15.914497285136","","false","false","","","false","false","false","false"
"Walmart","","926 Paseo del Pueblo sur","Taos","","NM","87571","5757581136","0","","https://www.walmart.com/","36.3876188","-105.5860935","16.194976117878","","false","false","","","false","false","false","false"
"Albertsons","","710 Paseo del Pueblo Sur","Taos","","NM","87571","5757581250","0","","","36.392259","-105.5822458","16.5420900695829","","false","false","","","false","false","false","false"
"The UPS Store","The UPS Store","1008 Paseo del Pueblo Sur","Taos","Taos","NM","87571","5057588647","0","Monday: 8:00 AM - 6:00 PM Tuesday: 8:00 AM - 6:00 PM Wednesday: 8:00 AM - 6:00 PM Thursday: 8:00 AM - 6:00 PM Friday: 8:00 AM - 6:00 PM Saturday: 9:00 AM - 4:00 PM ","http://www.upsstore.com","36.40071","-105.58418","17.1055685093069","Packing Peanut (Reuse); Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at Randall Lumber & Hardware","Call2Recycle at Randall Lumber & Hardware","315 Paseo del Pueblo Sur","Taos","Taos","NM","87571","5757582271","0","","http://randalltaos.com/","36.40114","-105.57592","17.2017608325505","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Walmart","Walmart","926 Paseo del Pueblo Sur","Taos","Taos","NM","87571","5757581136","0","","http://www.walmart.com","36.40701","-105.57563","17.6048186529143","Lead Acid (Pb) Batteries; Plastic Shopping Bags; Food Storage Bags; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"RadioShack","RadioShack","314 Paseo del Pueblo Norte Ste G","Taos","Taos","NM","87571","5057588321","0","Monday: 9:00 AM - 5:30 PM Tuesday: 9:00 AM - 5:30 PM Wednesday: 9:00 AM - 5:30 PM Thursday: 9:00 AM - 5:30 PM Friday: 9:00 AM - 5:30 PM Saturday: 9:00 AM - 11:59 PM ","http://www.radioshack.com","36.41116","-105.57029","17.9360096215713","Ni-Cd Batteries; Batteries (Rechargeable); Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"AutoZone","AutoZone","525 Paseo Del Pueblo Norte ","Taos","Taos County","NM","87571","5757375400","0","","http://www.autozone.com","36.4147879","-105.568031","18.2045019099833","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","Most AutoZone stores accept used motor oil, transmission fluid, gear oil and automotive batteries. Call to see what your local store is currently accepting.","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","318 Paseo del Pueblo Norte","Taos","Taos","NM","87571","8002758777","0","","https://www.usps.com/","36.36614","-105.39227","19.4927149460193","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"Rio Grande Ace Hardware","Rio Grande Ace Hardware","1381 Paseo del Pueblo Sur","Taos","Taos","NM","87571","5057584268","0","Monday: 8:00 AM - 6:00 PM Tuesday: 8:00 AM - 6:00 PM Wednesday: 8:00 AM - 6:00 PM Thursday: 8:00 AM - 6:00 PM Friday: 8:00 AM - 6:00 PM Saturday: 8:00 AM - 6:00 PM Sunday: 9:00 AM - 4:00 PM ","http://www.riograndeace.com/","36.43538","-105.57585","19.5416658731587","Cell Phones; Compact Fluorescent Lights; Mercury Containing Items; Batteries (Rechargeable); Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Village of Angel Fire Collection Center","","Hwy 434","Angel Fire","","NM","87710","5753776967","0","","http://www.angelfirerecycles.com/","36.3494467","-105.2874018","23.0920212940144","","false","false","","","false","false","false","false"
"Village of Angel Fire Collection Center","Village of Angel Fire Collection Center","55 Valle Grande Trail N ","Angel Fire","Colfax County","NM","87710","5753776967","0","Monday: 8:00 AM - 5:00 PM Tuesday: 8:00 AM - 5:00 PM Wednesday: 8:00 AM - 5:00 PM Thursday: 8:00 AM - 5:00 PM Friday: 8:00 AM - 5:00 PM ","http://www.angelfirenm.gov/","36.3934952","-105.2909173","24.83197665092","Plastic #1 (PETE); Plastic #2 (HDPE); Aluminum Cans; Antifreeze; Lead Acid (Pb) Batteries; Cardboard; Clothing; Compact Fluorescent Lights; Cooking Oil; Household Goods; Inkjet Printer Cartridges; Large Household Appliances; Mercury Containing Items; Unused Paint; Used Motor Oil; Used Tires; Scrap Metal","false","true","","","false","false","false","false"
