name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Walgreens","Walgreens","226 5th Ave N","Nashville","Davidson","TN","37219","6152564600","0","","http://www.walgreens.com","36.16261","-86.77971","0.103586229621017","Cell Phones; Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"FedEx Office","FedEx Office","212 Broadway","Nashville","Davidson","TN","37201","6152441000","0","Monday: 7:00 AM - 10:00 PM Tuesday: 7:00 AM - 10:00 PM Wednesday: 7:00 AM - 10:00 PM Thursday: 7:00 AM - 10:00 PM Friday: 7:00 AM - 9:00 PM Saturday: 9:00 AM - 6:00 PM ","http://www.fedex.com/us/office/","36.16177","-86.77566","0.129776069351588","Inkjet Printer Cartridges; Laser Toner Cartridges; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Tennessee Division of Solid and Hazardous Waste Management","","","Nashville","","TN","37243","6155329265","0","","https://www.tn.gov/environment/program-areas/sw-solid-waste.html","36.1635337","-86.7816953","0.228705947591337","","false","false","","","false","false","false","false"
"911 Cell Phone Bank - Community Bank Of The South","911 Cell Phone Bank - Community Bank Of The South","500 Deaderick St","Nashville","Davidson","TN","37242","8662907864","0","","http://www.911cellphonebank.org/","36.1651","-86.78221","0.309226182124931","Cell Phones; Cameras; Laptop Computers; MP3 Players; Video Games; Video Game Consoles; Smart watches & Apple Watch®
","false","true","Please call to verify drop-off procedures and directions to the location.  For prepaid shipping labels, visit http://www.911cellphonebank.org/drop-off-locations.asp - click on "print shipping label."","","false","false","false","false"
"Metro Nashville and Davidson County Recycling Drop-Off Site - Old Ben West Library Building","","Union St & Polk Ave","Nashville","","TN","37203","6158801000","0","","https://www.nashville.gov/Public-Works/Neighborhood-Services/Recycling.aspx","36.1631387","-86.7842135","0.357243126113625","","false","false","","","false","false","false","false"
"US Post Office","US Post Office","901 Broadway","Nashville","Davidson","TN","37202","0","0","","https://www.usps.com/ship/recycle-through-usps.htm","36.15824","-86.78337","0.414118054865844","Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","Free, postage-paid Mail Back envelopes can be found on display in the lobby. There is no limit to the number of envelopes customers may take. The contents of the envelope must weigh less than 13 ounces and the envelope must be able to seal completely. For more details visit<a href="http://www.maxback.com/mxb-postoffice-collaboration" target="_blank">MaxBack</a>.","","false","false","false","false"
"PSC Metals Inc.","PSC Metals Inc.","710 S 1st St","Nashville","Davidson","TN","37213","6152713300","6152713404","Monday: 7:30 AM - 4:00 PM Tuesday: 7:30 AM - 4:00 PM Wednesday: 7:30 AM - 4:00 PM Thursday: 7:30 AM - 4:00 PM Friday: 7:30 AM - 4:00 PM ","http://www.pscmetals.com","36.16308","-86.76889","0.505313671997574","Aluminum Cans; Car; Lead Acid (Pb) Batteries; Cell Phones; Computer (Recycling); Electronics; Ferrous Metals (Steel or Iron); Video Game Systems; Large Household Appliances; Non-ferrous (Copper/Brass/Tin); Office Equipment; Telephones; Stereo Equipment; Printers/Scanners/Fax Machines; Laptop Computers; Tablets; MP3 Players; AC Power Plugs; Portable Media Players; Cables & Connectors; Servers; Wire; Microwaves; Power Supplies; Computer Peripherals; VCRs; DVD Players/Blu-Ray Players/DVRs; Network Equipment; Catalytic Converters; Car Audio/Video Equipment; Radiators; High-Temp Alloys; Special Metals; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"PSC Metals, Inc.","","710 South 1st Street","Nashville","","TN","37213","6152713300","0","","https://www.pscmetals.com/","36.1619309","-86.7685623","0.521220015855894","","false","false","","","false","false","false","false"
"PSC Metals Inc US HQ","","710 S 1st Street","Nashville","","TN","37213","6152713300","0","","https://www.pscmetals.com/","36.1619309","-86.7685623","0.521220015855894","","false","false","","","false","false","false","false"
"Bicentennial Mall Recycling Drop-off Point","Bicentennial Mall Recycling Drop-off Point","600 James Robertson Pkwy","Nashville","Davidson","TN","37243","6158628750","0","","http://www.nashville.gov/","36.16827","-86.78583","0.605473383869883","Plastic #1 (PETE); Plastic #2 (HDPE); Plastic #2 (Color HDPE); Aluminum Cans; Cardboard; Computer Paper; Paper (Mixed); Newspapers; Paperboard; Tin or Steel Cans; Office Paper","false","true","","","false","false","false","false"
"Call2Recycle at Grainger","Call2Recycle at Grainger","1021 Charlotte Ave","Nashville","Davidson","TN","37203","6152552012","0","","http://www.grainger.com/","36.16263","-86.78921","0.631530133280458","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
"Firestone Complete Auto Care","","1221 Broadway","Nashville","","TN","37203","6152556627","0","","https://www.firestonecompleteautocare.com/","36.1560129","-86.7881133","0.716139266869505","","false","false","","","false","false","false","false"
"Firestone Complete Auto Care Store","Firestone Complete Auto Care Store","1221 Broadway","Nashville","Davidson","TN","37203","6152556627","0","","http://www.firestonecompleteautocare.com/","36.15562","-86.78873","0.759955098109927","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Call2Recycle at Hilti","Call2Recycle at Hilti","407 Lafayette St Ste B","Nashville","Davidson","TN","37203","6157429835","0","","https://www.us.hilti.com/","36.1518","-86.77156","0.806282236177076","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
