name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Napuck Salvage of Waupaca LLC","Napuck Salvage of Waupaca LLC","255 Wendt Dr","Waupaca","Waupaca","WI","54981","7152560383","7152560533","","http://www.reserve-group.com","44.35152","-89.06422","10.5193257267751","Aluminum Cans; Aluminum; Ferrous Metals (Steel or Iron); Non-ferrous (Copper/Brass/Tin); Tin or Steel Cans; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Alter Metal Recycling","","2080 Spindt Drive","Waupaca","","WI","54981","7152561326","0","","https://www.altertrading.com/","44.3559809","-89.0434871","10.890943433066","","false","false","","","false","false","false","false"
"Alter Metal Recycling","","2080 Spindt Drive","Waupaca","","WI","54981","7152561326","0","","https://www.altertrading.com/","44.3559809","-89.0434871","10.890943433066","","false","false","","","false","false","false","false"
"Goodwill Industries Of North Central Wisconsin","Goodwill Industries Of North Central Wisconsin","805 W Fulton St","Waupaca","Waupaca","WI","54981","7159420574","0","","http://www.goodwillncw.org/","44.35795","-89.0773","10.9732274601888","Electronics; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","E-cycle Wisconsin collection site. ","","false","false","false","false"
"O'Reilly Auto Parts","","835 W Fulton St","Waupaca","","WI","54981","7152582203","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","44.3563879","-89.1027976","10.9944918732681","","false","false","","","false","false","false","false"
"Napuck Salvage of Waupaca LLC","","255 Wendt Drive","Waupaca","","WI","54981","7152560383","0","","http://reserve-group.com/","44.3564723","-89.032116","10.9999058820977","","false","false","","","false","false","false","false"
"Samuel's Recycling Company","Samuel's Recycling Company","2080 Spindt Dr","Waupaca","Waupaca","WI","54981","7152561326","0","Monday: 7:00 AM - 3:30 PM Tuesday: 7:00 AM - 3:30 PM Wednesday: 7:00 AM - 3:30 PM Thursday: 7:00 AM - 3:30 PM Friday: 7:00 AM - 3:30 PM ","","44.3573","-89.03795","11.0144541266177","Aluminum Cans; Aluminum; Car; Lead Acid (Pb) Batteries; Ferrous Metals (Steel or Iron); Large Household Appliances; Clothes Hangers (Metal); Non-ferrous (Copper/Brass/Tin); Tin or Steel Cans; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Alter Metal Recycling","Alter Metal Recycling","2080 Spindt Dr","Waupaca","Waupaca","WI","54981","7152561326","0","Monday: 7:00 AM - 3:30 PM Tuesday: 7:00 AM - 3:30 PM Wednesday: 7:00 AM - 3:30 PM Thursday: 7:00 AM - 3:30 PM Friday: 7:00 AM - 3:30 PM ","http://www.altermetalrecycling.com","44.3573","-89.03795","11.0144541266177","Aluminum Cans; Aluminum; Ferrous Metals (Steel or Iron); Non-ferrous (Copper/Brass/Tin); Empty Paint Cans; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Walgreens","Walgreens","925 W Fulton St","Waupaca","Waupaca","WI","54981","7152589228","0","","http://www.walgreens.com","44.35656","-89.10674","11.0389035720989","Cell Phones; Inkjet Cartridge Refilling; Inkjet Printer Cartridges; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"KNK Technology","KNK Technology","824 W Fulton St","Waupaca","Waupaca","WI","54981","7152583885","0","","http://www.radioshack.com/","44.35775","-89.10053","11.0702654413686","Cell Phones; Ni-Cd Batteries; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","The U.S. EPA estimates that more than 350 million rechargeable batteries are purchased annually in the U.S. Thanks to the environmental commitment of this location, its easy and free to recycle your batteries. Bring your rechargeable batteries to this location and look for the recycling box or ask an associate how you can do your part for the environment.","","false","false","false","false"
